1870	11
1871	8
1872	5
1873	5
1874	7
1875	6
1876	5
1877	8
1878	12
1879	8
1880	11
1881	7
1882	6
1883	4
1884	4
1885	8
1886	12
1887	19
1888	9
1889	9
1890	4
1891	10
1892	9
1893	12
1894	7
1895	6
1896	7
1897	6
1898	11
1899	9
1900	7
1901	12
1902	5
1903	10
1904	5
1905	5
1906	11
1907	5
1908	10
1909	11
1910	5
1911	6
1912	7
1913	6
1914	1
1915	5
1916	14
1917	3
1918	5
1919	3
1920	4
1921	6
1922	4
1923	7
1924	8
1925	2
1926	11
1927	7
1928	6
1929	3
1930	2
1931	9
1932	11
1933	21
1934	11
1935	6
1936	16
1937	9
1938	8
1939	5
1940	8
1941	6
1942	10
1943	10
1944	11
1945	11
1946	6
1947	9
1948	9
1949	13
1950	13
1951	10
1952	7
1953	14
1954	11
1955	12
1956	8
1957	8
1958	10
1959	11
1960	7
1961	11
1962	5
1963	9
1964	12
1965	6
1966	11
1967	8
1968	8
1969	18
1970	10
1971	13
1972	7
1973	8
1974	11
1975	9
1976	10
1977	6
1978	12
1979	9
1980	11
1981	12
1982	6
1983	4
1984	13
1985	11
1986	6
1987	7
1988	12
1989	11
1990	14
1991	8
1992	7
1993	8
1994	7
1995	19
1996	13
1997	8
1998	14
1999	12
2000	15
2001	15
2002	12
2003	16
2004	15
2005	28
2006	10
2007	15
2008	16
2009	9
2010	19
2011	19
2012	19
2013	14
2014	8
2015	11
2016	15
2017	17
2018	15
2019	18
2020	30
